id,name,region,subregion,climate,expenditure_single,expenditure_couple,tags,cover_image,grade
australia,Australia,Oceania,Pacific,Temperate,"$3,850","$5,000",Top Healthcare:Warm Weather:Safe:English Spoken:Beach Living:Premium Cost,/images/destinations/australia/hero.webp,C
austria,Austria,Europe,Western Europe,Temperate,"$3,400","$4,300",Top Healthcare:Safe:Premium Cost,/images/destinations/austria/hero.webp,C
belize,Belize,Americas,Central America & Caribbean,Tropical,"$2,000","$2,500",Low Cost:Warm Weather:Safe:English Spoken:Beach Living,/images/destinations/belize/hero.webp,C
canada,Canada,Americas,North America,Cold,"$3,300","$4,300",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/canada/hero.webp,C
chile,Chile,Americas,South America,Temperate,"$2,500","$3,150",Warm Weather:Safe:Large Expat Communities,/images/destinations/chile/hero.webp,B
colombia,Colombia,Americas,South America,Tropical,"$1,800","$2,400",Low Cost:Tropical Paradise:Warm Weather:Large Expat Communities:Mountain Living,/images/destinations/colombia/hero.webp,C
costa-rica,Costa Rica,Americas,Central America & Caribbean,Tropical,"$2,250","$2,750",Low Cost:Tropical Paradise:Top Healthcare:Safe:Beach Living,/images/destinations/costa-rica/hero.webp,B
croatia,Croatia,Europe,Southern Europe,Mediterranean,"$2,000","$2,500",Warm Weather:Safe:Large Expat Communities:Beach Living,/images/destinations/croatia/hero.webp,B
cyprus,Cyprus,Europe,Southern Europe,Mediterranean,"$2,250","$2,850",Warm Weather:Safe:Large Expat Communities:English Spoken:Beach Living:Tax Friendly,/images/destinations/cyprus/hero.webp,B
czech-republic,Czech Republic,Europe,Eastern Europe,Temperate,"$2,250","$2,850",Safe:Low Cost,/images/destinations/czech-republic/hero.webp,B
denmark,Denmark,Europe,Northern Europe,Temperate,"$3,850","$5,000",Top Healthcare:Safe:English Spoken:Premium Cost,/images/destinations/denmark/hero.webp,B
dominican-republic,Dominican Republic,Americas,Central America & Caribbean,Tropical,"$1,800","$2,400",Low Cost:Warm Weather:Large Expat Communities:Beach Living,/images/destinations/dominican-republic/hero.webp,C
ecuador,Ecuador,Americas,South America,Tropical,"$1,600","$2,150",Low Cost:Top Healthcare:Safe:Mountain Living,/images/destinations/ecuador/hero.webp,C
finland,Finland,Europe,Northern Europe,Cold,"$3,300","$4,300",Top Healthcare:Safe:English Spoken:Low Crowds:Premium Cost,/images/destinations/finland/hero.webp,C
france,France,Europe,Western Europe,Temperate,"$2,850","$3,600",Top Healthcare:Warm Weather:Safe,/images/destinations/france/hero.webp,B
georgia,Georgia,Europe,Eastern Europe,Mixed,"$1,400","$1,900",Low Cost:Easy Residency:Tax Friendly,/images/destinations/georgia/hero.webp,B
germany,Germany,Europe,Western Europe,Temperate,"$3,150","$4,000",Top Healthcare:Safe,/images/destinations/germany/hero.webp,B
greece,Greece,Europe,Southern Europe,Mediterranean,"$2,000","$2,550",Warm Weather:Safe:Beach Living:Large Expat Communities,/images/destinations/greece/hero.webp,C
