id,name,country,description
aarhus,Aarhus,denmark,Youthful city with culture and innovation
abu-dhabi,Abu Dhabi,united-arab-emirates,Calm capital with premium services
agadir,Agadir,morocco,Modern beach resort city
alicante,Alicante,spain,Relaxed seaside city with affordable Mediterranean living
ambergris-caye,Ambergris Caye,belize,Island expat hub with diving
amsterdam,Amsterdam,netherlands,International city with culture and healthcare
antalya,Antalya,turkey,Affordable Mediterranean city with private hospitals
atenas,Atenas,costa-rica,Mild climate town known for year-round spring weather
athens,Athens,greece,"Historic capital with culture, healthcare, and amenities"
auckland,Auckland,new-zealand,Largest city with coastal living
bali,Bali,indonesia,Spiritual island with expat lifestyle
bangkok,Bangkok,thailand,Dynamic capital with top private hospitals
bath,Bath,united-kingdom,Elegant spa town with heritage
batumi,Batumi,georgia,Black Sea resort city with modern development
bergen,Bergen,norway,Rainy coastal city near fjords
bled,Bled,slovenia,Alpine lake town with tranquility and scenery
bogota,Bogotá,colombia,High-altitude capital with culture
boquete,Boquete,panama,Cool-climate mountain town popular with retirees
bordeaux,Bordeaux,france,Elegant wine city with culture and livability
brisbane,Brisbane,australia,Warm climate city with outdoor lifestyle
brno,Brno,czech-republic,University city with lower costs than Prague
budva,Budva,montenegro,Lively beach town with growing expat presence
busan,Busan,south-korea,Coastal city with beaches
cartagena,Cartagena,colombia,Historic Caribbean coastal city
caye-caulker,Caye Caulker,belize,Laid-back island lifestyle
cebu,Cebu,philippines,Island city with expats and healthcare
central-area,Central Area,singapore,Dense urban core with premium services
cesky-krumlov,Český Krumlov,czech-republic,Fairytale town with historic charm
chiang-mai,Chiang Mai,thailand,Cultural northern city with low costs and retirees
colombo,Colombo,sri-lanka,Coastal capital with services
colonia-del-sacramento,Colonia del Sacramento,uruguay,Charming historic town
copenhagen,Copenhagen,denmark,"Safe, modern capital with excellent services"
cork,Cork,ireland,Friendly city with lower costs
cornwall,Cornwall,united-kingdom,Scenic coastal living with slower pace
coronado,Coronado,panama,Quiet beach community near Panama City
crete,Crete,greece,"Large island offering beaches, towns, and affordable living"
cuenca,Cuenca,ecuador,Popular expat city with mild climate
da-nang,Da Nang,vietnam,Coastal city with beaches and affordability
davao,Davao,philippines,Affordable southern city with nature
dubai,Dubai,united-arab-emirates,Luxury city with safety and healthcare
dublin,Dublin,ireland,Cultural capital with healthcare access
dubrovnik,Dubrovnik,croatia,Scenic walled city with strong tourism appeal
dumaguete,Dumaguete,philippines,Small university town popular with retirees
east-coast,East Coast,singapore,Residential seaside living
edinburgh,Edinburgh,united-kingdom,Historic capital with strong culture
escazu,Escazú,costa-rica,Upscale suburb near San José with excellent private healthcare
florence,Florence,italy,"Cultural city with art, walkability, and healthcare"
freiburg,Freiburg,germany,Eco-friendly city near Black Forest
fukuoka,Fukuoka,japan,Affordable city with relaxed pace
